lib,trial,n,threads,us_per_n,cpu_time,real_time
flint-feea,0,6,1,35.851,0.00,00.01
flint-feea,0,6,2,35.1487,0.00,00.01
flint-feea,0,6,4,38.3777,0.01,00.01
flint-feea,0,6,8,48.4437,0.00,00.01
flint-feea,0,6,16,46.531,0.00,00.01
flint-feea,0,7,1,50.2494,0.01,00.01
flint-feea,0,7,2,47.8088,0.01,00.01
flint-feea,0,7,4,67.9417,0.01,00.01
flint-feea,0,7,8,52.8749,0.00,00.01
flint-feea,0,7,16,46.3288,0.00,00.02
flint-feea,0,8,1,68.9696,0.02,00.02
flint-feea,0,8,2,71.0602,0.01,00.02
flint-feea,0,8,4,73.1118,0.02,00.02
flint-feea,0,8,8,68.2255,0.02,00.02
flint-feea,0,8,16,75.0585,0.02,00.03
flint-feea,0,9,1,78.6231,0.04,00.04
flint-feea,0,9,2,82.4117,0.04,00.04
flint-feea,0,9,4,80.3422,0.04,00.04
flint-feea,0,9,8,79.9571,0.04,00.04
flint-feea,0,9,16,120.619,0.06,00.07
flint-feea,0,10,1,86.5891,0.08,00.09
flint-feea,0,10,2,119.556,0.11,00.12
flint-feea,0,10,4,90.7845,0.09,00.09
flint-feea,0,10,8,110.364,0.11,00.13
flint-feea,0,10,16,117.188,0.11,00.13
flint-feea,0,11,1,117.046,0.23,00.24
flint-feea,0,11,2,120.561,0.25,00.26
flint-feea,0,11,4,119.99,0.25,00.25
flint-feea,0,11,8,112.014,0.23,00.23
flint-feea,0,11,16,113.713,0.23,00.26
flint-feea,0,12,1,141.129,0.55,00.58
flint-feea,0,12,2,130.903,0.55,00.54
flint-feea,0,12,4,152.233,0.64,00.64
flint-feea,0,12,8,148.498,0.64,00.61
flint-feea,0,12,16,148.225,0.63,00.62
flint-feea,1,6,1,33.6233,0.00,00.00
flint-feea,1,6,2,28.9808,0.00,00.00
flint-feea,1,6,4,31.5472,0.00,00.01
flint-feea,1,6,8,31.3486,0.00,00.01
flint-feea,1,6,16,32.459,0.00,00.01
flint-feea,1,7,1,52.3326,0.00,00.01
flint-feea,1,7,2,50.3389,0.01,00.01
flint-feea,1,7,4,53.6317,0.01,00.01
flint-feea,1,7,8,47.8967,0.00,00.01
flint-feea,1,7,16,58.8536,0.01,00.01
flint-feea,1,8,1,72.6641,0.02,00.02
flint-feea,1,8,2,72.472,0.02,00.02
flint-feea,1,8,4,69.6626,0.02,00.02
